year,judge,district,respondents,retention,knowledge,perception,punctuality,attention,management,demeanor,clarity,promptness,criticism,decision,courteous,equality
2018,"Bauercamper, John J.",1A,112,85,4.02,3.95,4.52,4.02,4.38,3.97,3.88,4.12,4.2,4.2,4.1,4.39
2018,"Bitter, Thomas",1A,107,94,4.37,4.44,4.67,4.59,4.55,4.72,4.3,4.28,4.66,4.51,4.77,4.76
2018,"Wittig, Monica",1A,100,54,3.17,3.15,3.45,3.42,3.54,3.41,2.94,3.11,3.01,2.89,3.8,3.73
2018,"Richter, Robert",1A,93,89,4.33,4.37,4.33,4.35,4.16,3.97,4.38,4.21,4.17,4.4,4.19,4.57
2018,"Dryer, Andrea J.",1B,84,90,4.3,4.33,4.55,4.52,4.49,4.38,4.41,4.13,4.54,4.46,4.53,4.64
2018,"Lekar, Kellyanne",1B,94,94,4.39,4.43,4.2,4.43,4.56,4.47,4.44,4.3,4.41,4.4,4.42,4.57
2018,"Staudt, David F.",1B,83,92,3.95,4.12,3.91,4.27,4.33,4.42,3.98,4.05,4.37,4.4,4.53,4.53
2018,"Harris, Jeffrey L.",1B,82,63,3.54,3.51,4.53,3.83,4,2.83,3.7,4.14,3.13,3.58,2.79,3.78
2018,"Jacobsen, Brook K.",1B,72,94,4.38,4.23,4.53,4.54,4.53,4.47,4.27,4.3,4.57,4.21,4.8,4.65
2018,"Wegman, Patrick",1B,75,95,4.22,4.44,4.56,4.44,4.44,4.63,4.19,4.38,4.63,4.37,4.68,4.37
2018,"Davenport, Rustin",1C,80,97,4.49,4.39,4.62,4.53,4.53,4.68,4.49,4.4,4.63,4.49,4.65,4.56
2018,"Drew, James M.",1C,85,99,4.7,4.72,4.8,4.77,4.82,4.78,4.67,4.76,4.69,4.68,4.73,4.63
2018,"Kester, Adria",2B,106,97,4.56,4.56,4.74,4.64,4.7,4.62,4.58,4.72,4.59,4.65,4.51,4.75
2018,"Oeth, Steven J.",2B,110,98,4.45,4.46,4.6,4.4,4.57,4.53,4.34,4.56,4.54,4.43,4.59,4.63
2018,"Stoebe, Kurt",2B,106,98,4.46,4.43,4.56,4.51,4.53,4.45,4.47,4.46,4.5,4.46,4.55,4.62
2018,"Wilke, Kurt L.",2B,109,95,4.32,4.32,4.45,4.12,4.38,3.96,4.19,4.37,4.19,4.2,4.1,4.43
2018,"Ahlers, Paul B.",2B,98,85,4.54,4.34,4.43,4.33,4.18,3.3,4.3,4.29,3.68,4.12,3.33,4.1
2018,"Crawford, Paul G.",2B,100,98,4.55,4.5,4.54,4.62,4.47,4.69,4.32,4.16,4.69,4.56,4.71,4.71
2018,"Doyle, Angela L.",2B,94,97,4.73,4.7,4.71,4.63,4.69,4.67,4.66,4.66,4.71,4.63,4.73,4.74
2018,"McCarville, Joseph B.",2B,94,65,3.07,3.2,3.79,3.46,3.36,3.31,3.25,3.69,3.72,3.55,3.47,3.83
2018,"Riley, Kim M.",2B,96,100,4.87,4.87,4.87,4.87,4.84,4.87,4.8,4.83,4.93,4.87,4.94,4.9
2018,"Lester, David A.",3A,72,97,4.57,4.52,4.55,4.63,4.57,4.59,4.52,3.78,4.64,4.58,4.63,4.71
2018,"Whittenburg, Nancy L.",3A,76,78,4.02,3.97,4.03,4.22,4.11,3.58,4,3.94,3.8,4.16,3.71,4.3
2018,"Poulson, Jeffrey L.",3B,83,99,4.33,4.39,4.73,4.49,4.63,4.69,4.41,4.52,4.63,4.51,4.71,4.66
2018,"Schumacher, Julie",3B,77,91,4.28,4.28,4.67,4.42,4.36,4.58,4.28,4.36,4.6,4.44,4.63,4.53
2018,"Forker Parry, Stephanie",3B,73,94,4.28,4.33,4.38,4.38,4.39,4.29,4.2,4,4.19,4.22,4.39,4.42
2018,"Hensley, Todd A.",3B,71,91,4.4,4.49,4.56,4.36,4.62,4.38,4.35,4.54,4.49,4.46,4.51,4.54
2018,"Steensland, Greg W.",4,71,91,4.32,4.29,4.55,4.29,4.34,3.73,4.14,4.3,4.12,4.12,3.71,4.38
2018,"Dreismeier, Craig M.",4,58,100,4.67,4.81,4.77,4.83,4.68,4.83,4.79,4.8,4.78,4.67,4.83,4.78
2018,"Zacharias, Amy L.",4,61,92,4.47,4.42,4.73,4.56,4.52,4.65,4.47,4.65,4.44,4.44,4.71,4.68
2018,"Hefner, Randy",5A,137,95,4.57,4.57,4.68,4.66,4.67,4.66,4.58,4.63,4.6,4.59,4.63,4.68
2018,"McCall, Bradley",5A,139,95,4.44,4.44,4.61,4.53,4.62,4.52,4.42,4.52,4.51,4.47,4.54,4.59
2018,"Rickers, Terry R.",5A,123,95,4.53,4.51,4.67,4.52,4.61,4.53,4.52,4.53,4.57,4.56,4.59,4.69
2018,"Cobb, Virginia",5A,107,98,4.53,4.51,4.19,4.46,4.48,4.58,4.44,4.28,4.67,4.61,4.7,4.73
2018,"Parker, Kevin",5A,113,93,4.49,4.4,4.65,4.54,4.75,4.69,4.39,4.25,4.66,4.35,4.66,4.6
2018,"Greenwood, Patrick W.",5B,79,98,4.64,4.72,4.83,4.83,4.78,4.89,4.79,4.79,4.75,4.78,4.85,4.83
2018,"Lauber, Heather L.",5C,175,98,4.64,4.64,4.75,4.72,4.7,4.79,4.74,4.68,4.75,4.68,4.72,4.74
2018,"May, David N.",5C,187,97,4.44,4.48,4.66,4.61,4.6,4.6,4.5,4.56,4.69,4.56,4.7,4.72
2018,"Belcher, Romonda D.",5C,181,91,4.05,4.15,4.31,4.35,4.39,4.48,4.06,4.23,4.5,4.39,4.62,4.58
2018,"Brandt, Gregory D.",5C,175,82,4.29,4.16,4.44,4.3,4.23,3.32,4.11,4.26,3.5,3.96,3.3,3.89
2018,"Coppola, Carol L.",5C,173,96,4.45,4.48,4.52,4.51,4.53,4.56,4.49,4.49,4.54,4.41,4.57,4.56
2018,"Egly, Carol S.",5C,178,92,4.07,4.07,4.1,4.21,4.09,4.24,4.09,4.19,4.39,4.31,4.389,4.52
2018,"Goettsch, Becky S.",5C,169,97,4.35,4.31,4.49,4.42,4.45,4.42,4.38,4.45,4.49,4.42,4.45,4.53
2018,"Price, William A.",5C,179,72,4.03,3.93,4.28,3.89,3.93,3.34,3.98,4.11,3.5,3.8,3.45,3.8
2018,"Seymour, Racheal",5C,165,68,3.91,3.7,3.14,3.72,3.59,2.84,3.82,2.93,3,3.54,2.83,3.75
2018,"Chappell, Andrew B.",6,145,92,4.19,4.27,4.61,4.42,4.44,4.46,4.27,4.33,4.49,4.51,4.5,4.67
2018,"Miller, Paul",6,161,97,4.45,4.51,4.63,4.53,4.59,4.48,4.32,4.11,4.5,4.55,4.55,4.64
2018,"Turner, Mitchell E.",6,157,92,4.4,4.34,4.47,4.47,4.53,4.5,4.42,4.46,4.5,4.47,4.56,4.66
2018,"Farmer Minot, Deborah",6,138,58,3.94,3.7,3.69,3.6,3.5,2.89,3.97,4.06,3,3.47,2.99,3.68
2018,"Scott, Nicholas",6,130,96,4.5,4.5,4.58,4.51,4.51,4.49,4.55,4.49,4.56,4.63,4.64,4.71
2018,"Cleve, Mark D.",7,124,94,4.48,4.37,4.7,4.51,4.44,4.49,4.46,4.53,4.6,4.56,4.55,4.69
2018,"Reidel, Thomas",7,116,96,4.62,4.59,4.77,4.7,4.77,4.69,4.64,4.65,4.67,4.61,4.71,4.69
2018,"Tabor, Nancy S.",7,123,83,4.07,3.96,4.47,4.1,4.07,3.52,4.07,4.38,3.75,4.04,3.56,4.26
2018,"Telleen, John D.",7,122,91,4.2,4.18,4.28,4.27,4.3,4.26,4.26,4.14,4.32,4.3,4.23,4.42
2018,"Strausser, Gary P.",7,105,94,4.21,4.31,3.82,4.24,4.31,4.36,4.13,3.15,4.52,4.42,4.52,4.64
2018,"Cronk, Crystal S.",8A,67,96,4.39,4.41,4.65,4.51,4.75,4.43,4.31,4.38,4.54,4.61,4.57,4.63
2018,"Gamon, Lucy J.",8A,78,98,4.64,4.63,4.74,4.65,4.69,4.66,4.65,4.66,4.66,4.63,4.66,4.75
2018,"Gookin, Myron",8A,76,100,4.71,4.72,4.84,4.77,4.83,4.86,4.73,4.76,4.88,4.84,4.89,4.88
2018,"Showers, Shawn R.",8A,70,85,4.09,4.2,4.55,4.34,4.37,4.6,4.15,4.44,4.5,4.5,4.66,4.65
2018,"Kitchen, Daniel P.",8A,67,92,4.19,4.2,4.23,4.2,4.03,4.29,4.07,3.82,4.47,4.43,4.48,4.5
2018,"Kruse, Mark",8B,56,96,4.6,4.6,4.71,4.58,4.6,4.69,4.5,4.67,4.63,4.61,4.59,4.79
2018,"Wright, John M.",8B,55,89,4.08,4.1,4.56,4.29,4.31,3.76,4,4.04,4.02,4.36,3.9,4.56
2018,"Slocum Bailey, Jennifer",8B,43,95,4.37,4.29,4.29,4.44,4.35,4.53,4.06,4.29,4.28,4.35,4.53,4.63
2018,"Rogers, Tyron T.",8B,38,94,3.81,3.9,4.24,4.05,3.71,4.23,4,3.52,4.55,4.27,4.41,4.55